mp-id,Formula,Space Group,Stable,Energy Above Hull (eV/atom),Experimentally Observed,Predicted Tc (K),Predicted Tc Std. Dev. (K),Closest Known Superconductor,Closest Superconductor Distance,Log Probability of Superconductivity
mp-1221439,Na4Li5(WO3)10,"['P1', 'Triclinic']",False,0.0546849907958773,False,17.54004669189453,1.5944191217422483,WO3,0.3673469387755101,-1.0728830375228426e-06
mp-758228,Li13Mn8O24,"['C2', 'Monoclinic']",False,0.0622816151555563,False,28.13668441772461,3.251520156860352,O7,0.9333333333333332,-1.311301275563892e-06
mp-1200488,K3V2O12,"['P2_1/c', 'Monoclinic']",False,0.4199053309926572,True,4.411550521850586,0.8163742423057556,KO3,0.2352941176470587,-1.6689286894688848e-06
mp-5373,Y2Ti2O7,"['Fd-3m', 'Cubic']",False,0.0091973797727487,True,0.993960976600647,0.9747313261032104,YTiO3,0.0727272727272727,-1.6689286894688848e-06
mp-758586,Li13Mn8O24,"['P2/m', 'Monoclinic']",False,0.0684395682666663,False,29.403240203857425,3.1092209815979004,O7,0.9333333333333332,-1.9073468138230965e-06
mp-758698,Li13Mn8O24,"['P-1', 'Triclinic']",False,0.0642416709333328,False,29.17819023132324,3.1163229942321777,O7,0.9333333333333332,-2.145764938177308e-06
mp-1201198,K2VO6,"['P2_1/c', 'Monoclinic']",False,0.3842277165972225,True,5.291378974914551,0.8007545471191406,KO3,0.2222222222222222,-2.145764938177308e-06
mp-1003769,Li3Mn4O8,"['C2/m', 'Monoclinic']",False,0.0644441980000065,False,33.547080993652344,1.2587820291519165,O7,0.9333333333333332,-2.622600959512056e-06
mp-762412,Li2Mn3O6,"['C2/m', 'Monoclinic']",False,0.0311729868181753,False,31.340856552124023,1.1835676431655884,O7,0.9090909090909092,-2.861018856492592e-06
mp-764763,Li7Mn4O12,"['P1', 'Triclinic']",False,0.0428114598840556,False,29.099029541015625,2.8678841590881348,O7,0.9565217391304348,-3.2186455882765586e-06
mp-1080207,Li3Mn4O8,"['C2/m', 'Monoclinic']",False,0.0669853010000069,False,33.07636260986328,1.525598168373108,O7,0.9333333333333332,-3.2186455882765586e-06
mp-1079053,B2Mo3,"['P4/mbm', 'Tetragonal']",False,0.0314735939999994,True,4.790496349334717,1.4370402097702026,Mo5B3,0.05,-3.4570634852570947e-06
mp-19962,Sn2Pt,"['Fm-3m', 'Cubic']",True,0.0,True,1.8245539665222168,0.9003301858901978,PtSn4,0.2666666666666667,-3.814689989667386e-06
mp-22682,In2Pt,"['Fm-3m', 'Cubic']",True,0.0,True,1.5361485481262207,0.6481001377105713,In,0.6666666666666667,-4.529942543740617e-06
mp-21602,Zr4Ni2O,"['Fd-3m', 'Cubic']",False,0.5448744265714289,True,3.577782154083252,1.205513596534729,NiZr2,0.2857142857142857,-4.649151378544048e-06
mp-573601,Th7Ru3,"['P6_3mc', 'Hexagonal']",True,0.0,True,0.9464532136917114,0.7475926876068115,Th,0.6000000000000001,-4.768360213347478e-06
mp-1045540,Li3Mn4O8,"['Cm', 'Monoclinic']",False,0.0373671040000065,False,30.967660903930664,1.319878339767456,O7,0.9333333333333332,-5.125986263010418e-06
mp-685259,Y16Ti16O35,"['P1', 'Triclinic']",False,0.3333626535820908,False,3.277441024780273,0.6381639838218689,YTiO3,0.1552238805970149,-5.125986263010418e-06
mp-1200449,Ce3Sn13Ir4,"['Pm-3n', 'Cubic']",True,0.0,True,3.232109546661377,0.7677048444747925,IrSn2,0.2999999999999999,-5.245195097813848e-06
mp-753028,Li3Mn4O8,"['C2/m', 'Monoclinic']",False,0.027425578000007,False,31.39291000366211,1.38945472240448,O7,0.9333333333333332,-5.841237907588948e-06
mp-28280,K5V3O10,"['P4_12_12', 'Tetragonal']",True,0.0,True,4.932521343231201,1.097571849822998,KO3,0.3888888888888888,-6.079655122448457e-06
mp-752673,Dy2CuO4,"['Cmce', 'Orthorhombic']",False,0.0235548657142832,False,32.268310546875,1.084077000617981,Dy2O3,0.2857142857142857,-6.318072337307967e-06
mp-219,MoP,"['P-6m2', 'Hexagonal']",True,0.0,True,7.21710205078125,1.9633324146270752,Mo4P3,0.1428571428571428,-7.033323527139146e-06
mp-1120793,LiMnO3,"['Pnma', 'Orthorhombic']",False,0.1839200139666621,False,28.64142227172852,4.188078880310059,O7,0.8,-7.390948667307384e-06
mp-754405,Ce2TiO5,"['C2/c', 'Monoclinic']",False,0.1071439121874995,False,18.3861083984375,0.8890911340713501,CeO2,0.2499999999999999,-8.4638240878121e-06
mp-1178110,Li(BiO2)2,"['Pbca', 'Orthorhombic']",False,0.0541907709523901,False,14.239154815673828,0.7467963695526123,BiBiO3,0.2857142857142857,-8.583032467868179e-06
mp-1365383,Y2Ti3O9,"['Pnma', 'Orthorhombic']",False,0.0447228926786014,False,2.274106979370117,0.7866773009300232,YTiO3,0.1142857142857143,-1.0013530300057027e-05
mp-1728,LuRh2,"['Fd-3m', 'Cubic']",True,0.0,True,2.24478530883789,1.077811360359192,LuRh5,0.3333333333333333,-1.0371154530730564e-05
mp-756143,Li5Mn6O12,"['P-1', 'Triclinic']",False,0.0423710371739058,False,30.878835678100582,0.9990737438201904,O7,0.9565217391304348,-1.3232143828645349e-05
mp-29077,LiBiO3,"['Pccn', 'Orthorhombic']",True,0.0,True,20.41256332397461,1.7982096672058103,BiBiO3,0.4,-1.370897462038556e-05
mp-557105,K4V2O7,"['C2/m', 'Monoclinic']",True,0.0,True,4.984686851501465,1.324419021606445,KO3,0.4230769230769231,-1.4662635294371285e-05
mp-1215117,Ce3(Sn3Pd2)2,"['Pnma', 'Orthorhombic']",True,0.0,False,3.75093674659729,0.5822837948799133,PdSn2,0.4615384615384614,-1.5616295058862306e-05
